"","year","month","day","n"
"1013",2016,7,2,313
"1014",2016,7,3,614
"1015",2016,7,4,371
"1016",2016,7,5,286
"1017",2016,7,6,281
"1018",2016,7,7,228
"1019",2016,7,8,362
"1020",2016,7,9,667
"1021",2016,7,10,543
"1022",2016,7,11,266
"1023",2016,7,12,181
"1024",2016,7,13,160
"1025",2016,7,14,200
"1026",2016,7,15,192
"1027",2016,7,16,606
"1028",2016,7,17,423
"1029",2016,7,18,230
"1030",2016,7,19,301
"1031",2016,7,20,210
"1032",2016,7,21,226
"1033",2016,7,22,297
"1034",2016,7,23,300
"1035",2016,7,24,296
"1036",2016,7,25,237
"1037",2016,7,26,262
"1038",2016,7,27,271
"1039",2016,7,28,209
"1040",2016,7,29,174
"1041",2016,7,30,414
"1042",2016,7,31,461
"1043",2016,8,1,388
"1044",2016,8,2,204
"1045",2016,8,3,224
"1046",2016,8,4,156
"1047",2016,8,5,218
"1048",2016,8,6,372
"1049",2016,8,7,297
"1050",2016,8,8,304
"1051",2016,8,9,102
"1052",2016,8,10,213
"1053",2016,8,11,181
"1054",2016,8,12,103
"1055",2016,8,13,410
"1056",2016,8,14,394
"1057",2016,8,15,138
"1058",2016,8,16,223
"1059",2016,8,17,153
"1060",2016,8,18,165
"1061",2016,8,19,222
"1062",2016,8,20,251
"1063",2016,8,21,395
"1064",2016,8,22,221
"1065",2016,8,23,191
"1066",2016,8,24,112
"1067",2016,8,25,128
"1068",2016,8,26,343
"1069",2016,8,27,273
"1070",2016,8,28,282
"1071",2016,8,29,191
"1072",2016,8,30,112
"1073",2016,8,31,164
"1074",2016,9,1,161
"1075",2016,9,2,288
"1076",2016,9,3,538
"1077",2016,9,4,624
"1078",2016,9,5,580
"1079",2016,9,6,205
"1080",2016,9,7,90
"1081",2016,9,8,104
"1082",2016,9,9,154
"1083",2016,9,10,290
"1084",2016,9,11,356
"1085",2016,9,12,176
"1086",2016,9,13,131
"1087",2016,9,14,153
"1088",2016,9,15,143
"1089",2016,9,16,149
"1090",2016,9,17,403
"1091",2016,9,18,427
"1092",2016,9,19,295
"1093",2016,9,20,150
"1094",2016,9,21,58
"1095",2016,9,22,173
"1096",2016,9,23,125
"1097",2016,9,24,423
"1098",2016,9,25,304
"1099",2016,9,26,141
"1100",2016,9,27,103
"1101",2016,9,28,24
"1102",2016,9,29,27
"1103",2016,9,30,44
"1104",2016,10,1,100
"1105",2016,10,2,249
"1106",2016,10,3,133
"1107",2016,10,4,118
"1108",2016,10,5,145
"1109",2016,10,6,41
"1110",2016,10,7,201
"1111",2016,10,8,360
"1112",2016,10,9,254
"1113",2016,10,10,268
"1114",2016,10,11,147
"1115",2016,10,12,25
"1116",2016,10,13,122
"1117",2016,10,14,151
"1118",2016,10,15,233
"1119",2016,10,16,147
"1120",2016,10,17,139
"1121",2016,10,18,109
"1122",2016,10,19,83
"1123",2016,10,20,36
"1124",2016,10,21,80
"1125",2016,10,22,189
"1126",2016,10,23,289
"1127",2016,10,24,114
"1128",2016,10,25,43
"1129",2016,10,26,3
"1130",2016,10,27,40
"1131",2016,10,28,110
"1132",2016,10,29,278
"1133",2016,10,30,110
"1134",2016,10,31,92
"1135",2016,11,1,104
"1136",2016,11,2,12
"1137",2016,11,3,74
"1138",2016,11,4,157
"1139",2016,11,5,367
"1140",2016,11,6,310
"1141",2016,11,7,108
"1142",2016,11,8,51
"1143",2016,11,9,26
"1144",2016,11,10,57
"1145",2016,11,11,40
"1146",2016,11,12,145
"1147",2016,11,13,127
